"DateTime","Players","Average Players"
"2026-02-22 00:00:00",9796,9897
"2026-02-22 01:00:00",9556,9883
"2026-02-22 02:00:00",9522,9876
"2026-02-22 03:00:00",9390,9863
"2026-02-22 04:00:00",9176,9848
"2026-02-22 05:00:00",9020,9833
"2026-02-22 06:00:00",8843,9814
"2026-02-22 07:00:00",8844,9796
"2026-02-22 08:00:00",9076,9779
"2026-02-22 09:00:00",9359,9759
"2026-02-22 10:00:00",9677,9739
"2026-02-22 11:00:00",9861,9713
"2026-02-22 12:00:00",10089,9688
"2026-02-22 13:00:00",10312,9660
"2026-02-22 14:00:00",10430,9629
"2026-02-22 15:00:00",10466,9602
"2026-02-22 16:00:00",10555,9581
"2026-02-22 17:00:00",10649,9563
"2026-02-22 18:00:00",10805,9548
"2026-02-22 19:00:00",10817,9528
"2026-02-22 20:00:00",10760,9508
"2026-02-22 21:00:00",10519,9489
"2026-02-22 22:00:00",10192,9470
"2026-02-22 23:00:00",9814,9448
"2026-02-23 00:00:00",9475,9430
"2026-02-23 01:00:00",9379,9417
"2026-02-23 02:00:00",9230,9402
"2026-02-23 03:00:00",9058,9391
"2026-02-23 04:00:00",8842,9377
"2026-02-23 05:00:00",8575,9364
"2026-02-23 06:00:00",8446,9351
"2026-02-23 07:00:00",8442,9336
"2026-02-23 08:00:00",8620,9320
"2026-02-23 09:00:00",8872,9307
"2026-02-23 10:00:00",9027,9293
"2026-02-23 11:00:00",9241,9284
"2026-02-23 12:00:00",9402,9272
"2026-02-23 13:00:00",9529,9268
"2026-02-23 14:00:00",9738,9266
"2026-02-23 15:00:00",9915,9264
"2026-02-23 16:00:00",10090,9261
"2026-02-23 17:00:00",10243,9257
"2026-02-23 18:00:00",10273,9254
"2026-02-23 19:00:00",10283,9252
"2026-02-23 20:00:00",10242,9253
"2026-02-23 21:00:00",10035,9254
"2026-02-23 22:00:00",9635,9251
"2026-02-23 23:00:00",9355,9250
"2026-02-24 00:00:00",9145,9271
"2026-02-24 01:00:00",9013,9291
"2026-02-24 02:00:00",8941,9302
"2026-02-24 03:00:00",8722,9305
"2026-02-24 04:00:00",8509,9313
"2026-02-24 05:00:00",8243,9319
"2026-02-24 06:00:00",8090,9323
"2026-02-24 07:00:00",8039,9326
"2026-02-24 08:00:00",8307,9331
"2026-02-24 09:00:00",8537,9331
"2026-02-24 10:00:00",8808,9333
"2026-02-24 11:00:00",8962,9335
"2026-02-24 12:00:00",9331,9340
"2026-02-24 13:00:00",9506,9340
"2026-02-24 14:00:00",9701,9339
"2026-02-24 15:00:00",9859,9338
"2026-02-24 16:00:00",9988,9339
"2026-02-24 17:00:00",10190,9338
"2026-02-24 18:00:00",10244,9333
"2026-02-24 19:00:00",10334,9328
"2026-02-24 20:00:00",10299,9319
"2026-02-24 21:00:00",9973,9308
"2026-02-24 22:00:00",9634,9303
"2026-02-24 23:00:00",9911,9301
"2026-02-25 00:00:00",9676,9281
"2026-02-25 01:00:00",9316,9260
"2026-02-25 02:00:00",9054,9249
"2026-02-25 03:00:00",8949,9245
"2026-02-25 04:00:00",8670,9238
"2026-02-25 05:00:00",8397,9231
"2026-02-25 06:00:00",8179,9220
"2026-02-25 07:00:00",8199,9216
"2026-02-25 08:00:00",8342,9210
"2026-02-25 09:00:00",8600,9205
"2026-02-25 10:00:00",8896,9200
"2026-02-25 11:00:00",9112,9194
"2026-02-25 12:00:00",9319,9186
"2026-02-25 13:00:00",9491,9183
"2026-02-25 14:00:00",9699,9181
"2026-02-25 15:00:00",9888,9180
"2026-02-25 16:00:00",9963,9173
"2026-02-25 17:00:00",10082,9170
"2026-02-25 18:00:00",10092,9165
"2026-02-25 19:00:00",10093,9160
"2026-02-25 20:00:00",10038,9154
"2026-02-25 21:00:00",9820,9148
"2026-02-25 22:00:00",9541,9142
"2026-02-25 23:00:00",9314,9148
"2026-02-26 00:00:00",9086,9159
"2026-02-26 01:00:00",9011,9163
"2026-02-26 02:00:00",8912,9160
"2026-02-26 03:00:00",8761,9154
"2026-02-26 04:00:00",8439,9147
"2026-02-26 05:00:00",8113,9141
"2026-02-26 06:00:00",8034,9139
"2026-02-26 07:00:00",8038,9134
"2026-02-26 08:00:00",8182,9133
"2026-02-26 09:00:00",8451,9135
"2026-02-26 10:00:00",8700,9135
"2026-02-26 11:00:00",8906,9135
"2026-02-26 12:00:00",9217,9135
"2026-02-26 13:00:00",9445,9133
"2026-02-26 14:00:00",9662,9131
"2026-02-26 15:00:00",9704,9130
"2026-02-26 16:00:00",9885,9128
"2026-02-26 17:00:00",9947,9123
"2026-02-26 18:00:00",9979,9116
"2026-02-26 19:00:00",9962,9111
"2026-02-26 20:00:00",9877,9107
"2026-02-26 21:00:00",9671,9105
"2026-02-26 22:00:00",9778,9112
"2026-02-26 23:00:00",9716,9111
"2026-02-27 00:00:00",9221,9106
"2026-02-27 01:00:00",8961,9106
"2026-02-27 02:00:00",8778,9111
"2026-02-27 03:00:00",8600,9118
"2026-02-27 04:00:00",8303,9128
"2026-02-27 05:00:00",8068,9144
"2026-02-27 06:00:00",7931,9160
"2026-02-27 07:00:00",8027,9178
"2026-02-27 08:00:00",8258,9190
"2026-02-27 09:00:00",8495,9201
"2026-02-27 10:00:00",8728,9212
"2026-02-27 11:00:00",8915,9225
"2026-02-27 12:00:00",9161,9242
"2026-02-27 13:00:00",9406,9260
"2026-02-27 14:00:00",9653,9274
"2026-02-27 15:00:00",9662,9288
